63,87,4,5
84,96,1,4
98,82,6,2
67,123,4,7
74,88,5,2
103,57,0,6
67,88,1,2
88,85,0,3
92,49,4,3
119,93,5,6
49,120,2,5
18,135,1,4
135,59,4,3
104,102,6,2
109,103,7,5
63,122,0,5
77,98,8,5
83,113,2,2
85,123,3,5
73,81,2,3
122,84,7,3
71,73,5,2
53,141,3,3
55,129,2,0
123,71,4,2
93,114,3,5
75,100,1,2
15,162,2,2
41,150,2,6
49,95,3,1
45,106,5,5
92,82,3,3
61,99,4,3
111,77,4,2
117,64,1,8
67,95,4,4
131,26,2,0
96,67,2,4
27,136,3,3
59,149,0,0
42,122,3,4
116,71,3,2
66,129,2,4
59,122,1,2
45,89,3,1
107,70,3,2
76,127,2,2
23,154,1,4
143,59,5,1
64,112,2,3
102,88,3,6
62,117,4,4
110,78,4,2
77,100,3,4
43,138,0,7
52,135,0,5
77,96,0,2
87,101,4,4
40,136,3,6
112,61,2,2
82,119,3,0
76,89,2,2
100,85,2,4
112,69,5,3
61,115,2,3
110,66,1,2
129,85,9,6
99,75,5,3
48,94,3,4
74,108,1,1
45,123,2,2
89,120,3,1
92,91,7,2
78,88,1,0
46,119,1,1
140,63,3,7
164,36,2,5
137,39,4,5
81,107,3,3
131,44,1,2
93,97,4,0
114,93,2,2
138,32,4,0
36,108,1,4
67,101,3,2
86,126,2,6
90,92,2,2
78,105,2,5
87,97,3,3
67,106,3,6
121,83,6,2
131,47,4,1
51,114,4,2
100,53,3,3
103,59,3,2
64,116,5,3
80,88,2,6
87,62,4,3
131,49,2,2
111,93,2,4
90,102,1,1
85,104,4,2
83,61,2,2
50,82,5,6
88,71,3,2
60,128,3,2
119,61,8,3
38,153,4,9
53,107,4,3
40,168,2,6
82,114,3,6
108,64,2,2
68,125,4,5
86,102,6,2
101,93,5,3
81,69,8,4
66,78,5,2
37,115,1,5
66,105,2,5
125,77,2,0
72,97,0,4
91,78,6,2
94,70,3,5
95,79,5,4
115,58,6,3
99,57,1,1
118,119,4,3
52,130,3,4
15,157,1,4
90,67,3,8
139,65,1,4
76,71,5,4
103,78,3,4
81,105,6,5
83,110,2,1
